Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Delabo.Group,https://www.crunchbase.com/organization/delabo-group,Active,,"Association, Dental, Medical","Düsseldorf, Nordrhein-Westfalen, Germany",Delabo.Group is an association of dental laboratories and a supplier of dental products and solutions.,"728,507","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,2019-09-01,month,,,,,For Profit,https://www.delabo.com,,https://www.facebook.com/delabogroup,https://www.linkedin.com/company/delabo-group,,"Health Care, Other",,101-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
METRO Markets,https://www.crunchbase.com/organization/metro-markets-4815,Active,,"Business Development, Professional Services, Service Industry","Düsseldorf, Nordrhein-Westfalen, Germany",METRO Markets is a B2B commerce and business relationships platform.,"931,448","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$10B+,2019-09-01,month,,,,,For Profit,https://www.metro-markets.de,,,https://www.linkedin.com/company/metro-markets-gmbh,,"Other, Professional Services",,501-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
MELKANA,https://www.crunchbase.com/organization/melkana,Active,,"Augmented Reality, Geospatial, Information Technology, Internet, Real Estate, Smart Cities, Virtual Reality, Virtual World","Düsseldorf, Nordrhein-Westfalen, Germany",A web and app that enables users to experience real estate using next-generation Virtual-Reality (360° virtual tours) technology.,"2,774,039","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2019-09-01,day,,,,,For Profit,https://www.melkana.de/,https://twitter.com/melkanagmbh,https://www.facebook.com/MelkanagmbH,https://www.linkedin.com/company/melkanagmbh/,"Melkana is a real-estate internet portal to helps facilitate buy, sell and rent in a VirtualReality environment. Based on the Goldman Sachs report, the market size of VR in real estate will be $2.6 billion in 2025. Our mission is to help people (buyers and tenants) find their next house faster and more entertaining. We are a team with years of experience in launching successful Start-ups. We can make high quality 360 degrees tours with the lowest price by our well-optimized process. Also, we have a deep understanding and long experience in the IT segment.","Community and Lifestyle, Data and Analytics, Hardware, Information Technology, Internet Services, Media and Entertainment, Navigation and Mapping, Real Estate, Software",2,1-10,"Mars develop, Te SA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,2
Beaumont New-Vintage Guitars,https://www.crunchbase.com/organization/beaumont-new-vintage-guitars,Active,,"E-Commerce, Music, Musical Instruments, Retail","Sittard, Limburg, The Netherlands",Beaumont New-Vintage Guitars is an online shop that provides guitars.,"2,644,649","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2019-08-28,day,,,,,For Profit,https://beaumontnewvintage.nl,,,,,"Commerce and Shopping, Media and Entertainment, Music and Audio",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Oak Trees,https://www.crunchbase.com/organization/oak-trees,Active,,"E-Commerce, Handmade, Home Decor","Sittard, Limburg, The Netherlands","Oak Trees is a webstore for handmade products for house and garden created out of cement, mortar and concrete.","3,208,912","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2019-08-26,day,,,,,For Profit,https://www.oak-trees.nl/,https://www.twitter.com/Oak_Trees_nl,,,,"Commerce and Shopping, Consumer Goods, Real Estate",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Picoglia,https://www.crunchbase.com/organization/picoglia,Active,,"Consumer Goods, Dietary Supplements, Health Care, Mental Health, Sales, Trading Platform","Geleen, Limburg, The Netherlands",Picoglia is a mental health care &trading platform specializing in providing good physical  & mental health through the sale of supplements.,"3,316,816","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2019-08-21,day,,,,,For Profit,http://www.picoglia.com,,,,,"Consumer Goods, Financial Services, Food and Beverage, Health Care, Lending and Investments, Sales and Marketing",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
That's the Case,https://www.crunchbase.com/organization/that-s-the-case,Active,,"E-Commerce, Fashion, Retail","Panningen, Limburg, The Netherlands","That's the Case is an online webshop for wallets, belt bags, and handbags.","3,655,203","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2019-08-20,day,,,,,For Profit,https://www.thatsthecase.nl/,,,,,"Clothing and Apparel, Commerce and Shopping, Design",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
MakaNalu,https://www.crunchbase.com/organization/makanalu,Active,,"Art, E-Commerce, Gift, Jewelry","Buchten, Limburg, The Netherlands",MakaNalu is an online gift shop that provides art and jewelry.,"2,256,919","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2019-08-19,day,,,,,For Profit,https://www.makanalu.com/,,https://www.facebook.com/jacobsphj/,,,"Commerce and Shopping, Consumer Goods, Media and Entertainment",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
My Dog & Me,https://www.crunchbase.com/organization/my-dog-me,Active,,"Animal Feed, Pet","Heel, Limburg, The Netherlands",My Dog & Me is a pet service provider company.,"3,107,356","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2019-08-19,day,,,,,For Profit,https://www.mydogandme.nl/,,https://www.facebook.com/mydogandme.nl/,,,"Agriculture and Farming, Community and Lifestyle",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Smartkündigen,https://www.crunchbase.com/organization/smartkündigen,Active,,"Contact Management, Document Management","Neuss, Nordrhein-Westfalen, Germany",Smartkündigen is a smart cancellation service that allows users to sign termination templates online and submit them to providers for free.,"2,168,894","European Union (EU), Europe, Middle East, and Africa (EMEA)",41468,,2019-08-17,day,,,,,For Profit,https://www.smartkuendigen.de,https://twitter.com/smartkuendigen,https://www.facebook.com/smartkuendigen.de,https://www.linkedin.com/company/smartkuendigen,"Smartkündigen is a smart cancellation service that allows users to sign termination templates online and submit them to providers for free. Users may discover every contractual partner as well as ready-made cancellation forms in their database. Users may quickly sign their resignation using their mouse or finger. Smartkündigen is headquartered in Neuss, Nordrhein-Westfalen and was founded in 2019.","Information Technology, Software",1,11-50,Cem Karahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
BAYIO,https://www.crunchbase.com/organization/bayio,Active,,"Consumer Goods, E-Commerce, Shopping","Nederweert, Limburg, The Netherlands",BAYIO is an e-commerce website that offers consumer goods.,"1,178,226","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2019-08-13,day,,,,,For Profit,https://floshop.nl/,,https://www.facebook.com/Bayio-122825122891015/,,,"Commerce and Shopping, Consumer Goods",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
VAN DORST CODEWORKS,https://www.crunchbase.com/organization/van-dorst-codeworks,Active,,"Graphic Design, Information Technology, Web Design","Venray, Limburg, The Netherlands",VAN DORST CODEWORKS offers website and graphic design services.,"2,182,630","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2019-08-12,day,,,,,For Profit,https://www.vdcw.nl,,,,,"Design, Information Technology",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
